#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_uk1,80x0C_park_neutral_switch,80x0D-0E_fault_codes,80x0F_idle_set_point,80x10_idle_hot,80x11_uk2,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,80x1A_uk4,80x1B_uk5,7dx01_ignition_switch,7dx02_throttle_angle,7dx03_uk6,7dx04_air_fuel_ratio,7dx05_dtc2,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0E_dtc3,7dx0F_idle_base_pos,7dx10_uk7,7dx11_dtc4,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx14_idle_error2,7dx14-15_uk10,7dx16_dtc5,7dx17_uk11,7dx18_uk12,7dx19_uk13,7dx1A_uk14,7dx1B_uk15,7dx1C_uk16,7dx1D_uk17,7dx1E_uk18,7dx1F_uk19,0x7d_raw,0x80_raw
12:11.5,1163,56,200,19,200,34,12.1,0.34,false,false,false,0,32,20,0,72,189,5,4,6.37,false,0,0,false,12,0,14.6,64,475,255,255,1,false,249,100,0,255,124,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41,7D2001140092405FFFFF0100F96400FF7C00FF350D0000FF000000000000000029,801C048B6FFF4AFF22791100000100002014004800BD05200C70000000
12:12.4,1229,57,200,19,200,33,12.1,0.34,false,false,false,0,32,20,0,72,141,5,4,6.37,false,0,0,false,12,0,14.6,64,480,255,255,1,false,249,100,0,255,124,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41,7D20011400924060FFFF0100F96400FF7C00FF350D0000FF000000000000000029,801C04CD70FF4AFF217911000001000020140048008D05200C70000000
12:13.3,1236,57,200,19,200,33,12.1,0.34,false,false,false,0,32,20,0,72,135,5,4,6.37,false,0,0,false,12,0,14.6,64,485,255,255,1,false,249,100,0,255,124,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41,7D20011400924061FFFF0100F96400FF7C00FF350D0000FF000000000000000029,801C04D470FF4AFF217911000001000020140048008705200C70000000
12:14.2,1231,57,200,19,200,33,12.1,0.34,false,false,false,0,32,20,0,72,146,5,4,6.37,false,0,0,false,12,0,14.6,64,495,255,255,1,false,249,100,0,255,124,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41,7D20011400924063FFFF0100F96400FF7C00FF350D0000FF000000000000000029,801C04CF70FF4AFF217911000001000020140048009205200C70000000
12:15.1,1230,57,200,19,200,34,12.1,0.34,false,false,false,0,32,20,0,72,148,5,4,6.37,false,0,0,false,12,0,14.6,64,500,255,255,1,false,249,100,0,255,124,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41,7D20011400924064FFFF0100F96400FF7C00FF350D0000FF000000000000000029,801C04CE70FF4AFF227911000001000020140048009405200C70000000
12:16.0,1212,57,200,19,200,33,12.1,0.34,false,false,false,0,32,20,0,72,166,5,4,6.37,false,0,0,false,12,0,14.6,64,510,255,255,1,false,249,100,0,255,124,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41,7D20011400924066FFFF0100F96400FF7C00FF350D0000FF000000000000000029,801C04BC70FF4AFF21791100000100002014004800A605200C70000000
12:16.9,1220,57,200,19,200,34,12.1,0.34,false,false,false,0,32,20,0,54,155,5,4,6.37,false,0,0,false,5,0,13,64,525,255,255,1,false,249,100,0,255,124,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41,7D20010000824069FFFF0100F96400FF7C00FF350D0000FF000000000000000029,801C04C470FF4AFF227911000001000020140036009B05200C70000000
12:17.8,1215,57,200,19,200,35,12.1,0.34,false,false,false,0,32,20,0,31,166,5,4,6.37,false,0,0,false,5,0,13,64,530,255,255,1,false,249,100,0,255,124,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41,7D2001000082406AFFFF0100F96400FF7C00FF350D0000FF000000000000000029,801C04BF70FF4AFF23791100000100002014001F00A605200C70000000
12:18.7,1200,57,200,19,200,34,12.1,0.34,false,false,false,0,32,20,0,31,176,5,4,6.37,false,0,0,false,5,0,13,64,545,255,255,1,false,249,100,0,255,124,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41,7D2001000082406DFFFF0100F96400FF7C00FF350D0000FF000000000000000029,801C04B070FF4AFF22791100000100002014001F00B005200C70000000
12:19.6,1220,57,200,19,200,34,12.1,0.34,false,false,false,0,32,20,0,31,154,5,4,6.37,false,0,0,false,0,0,13,64,530,255,255,1,false,249,100,0,255,124,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41,7D2001000082406AFFFF0100F96400FF7C00FF350D0000FF000000000000000029,801C04C470FF4AFF22791100000100002014001F009A05200C70000000
